NZHSC Code Hierarchy - NZHSC Level 2 Code,NZHSC Code Hierarchy - NZHSC Level 4 Code,NZHSC Code Hierarchy - NZHSC Level 6 Code,NZHSC Description Hierarchy - NZHSC Level 2 Description,NZHSC Description Hierarchy - NZHSC Level 4 Description,NZHSC Description Hierarchy - NZHSC Level 6 Description,Primary Industry Sector,SOPI Forecast Group,Granular Group
10,1003,100300,Cereals,Barley,Cereals; barley,Arable,Cereals,Barley
10,1003,100310,Cereals,Barley,"Cereals; barley, seed",Arable,Cereals,Barley
10,1003,100390,Cereals,Barley,"Cereals; barley, other than seed",Arable,Cereals,Barley
10,1005,100510,Cereals,Maize (corn),"Cereals; maize (corn), seed",Arable,Cereals,Maize
10,1005,100590,Cereals,Maize (corn),"Cereals; maize (corn), other than seed",Arable,Cereals,Maize
10,1004,100400,Cereals,Oats,Cereals; oats,Arable,Cereals,Oats
10,1004,100410,Cereals,Oats,"Cereals; oats, seeds",Arable,Cereals,Oats
10,1004,100490,Cereals,Oats,"Cereals; oats, other than seed",Arable,Cereals,Oats
10,1002,100200,Cereals,Rye,Cereals; rye,Arable,Cereals,Other grain
10,1002,100210,Cereals,Rye,"Cereals; rye, seed",Arable,Cereals,Other grain
10,1008,100810,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; buckwheat,Arable,Cereals,Other grain
10,1008,100820,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; millet,Arable,Cereals,Other grain
10,1008,100821,Cereals,"Buckwheat, millet and canary seeds; other cereals","Cereals; millet, seed",Arable,Cereals,Other grain
10,1008,100829,Cereals,"Buckwheat, millet and canary seeds; other cereals","Cereals; millet, other than seed",Arable,Cereals,Other grain
10,1008,100830,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; canary seeds,Arable,Cereals,Other grain
10,1008,100850,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; quinoa (Chenopodium quinoa),Arable,Cereals,Other grain
10,1008,100860,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; triticale,Arable,Cereals,Other grain
10,1008,100890,Cereals,"Buckwheat, millet and canary seeds; other cereals",Cereals; n.e.c. in chapter 10,Arable,Cereals,Other grain
10,1006,100610,Cereals,Rice,Cereals; rice in the husk (paddy or rough),Arable,Cereals,Rice
10,1006,100620,Cereals,Rice,Cereals; husked (brown) rice,Arable,Cereals,Rice
10,1006,100630,Cereals,Rice,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",Arable,Cereals,Rice
10,1006,100640,Cereals,Rice,"Cereals; rice, broken",Arable,Cereals,Rice
10,1007,100700,Cereals,Grain sorghum,Cereals; grain sorghum,Arable,Cereals,Sorghum
10,1007,100710,Cereals,Grain sorghum,"Cereals; grain sorghum, seed",Arable,Cereals,Sorghum
10,1007,100790,Cereals,Grain sorghum,"Cereals; grain sorghum, other than seed",Arable,Cereals,Sorghum
10,1001,100110,Cereals,Wheat and meslin,Cereals; durum wheat,Arable,Cereals,Wheat
10,1001,100111,Cereals,Wheat and meslin,"Cereals; wheat and meslin, durum wheat, seed",Arable,Cereals,Wheat
10,1001,100119,Cereals,Wheat and meslin,"Cereals; wheat and meslin, durum wheat, other than seed",Arable,Cereals,Wheat
10,1001,100190,Cereals,Wheat and meslin,Cereals; meslin and wheat other than durum,Arable,Cereals,Wheat
10,1001,100191,Cereals,Wheat and meslin,"Cereals; wheat and meslin, other than durum wheat, seed",Arable,Cereals,Wheat
10,1001,100199,Cereals,Wheat and meslin,"Cereals; wheat and meslin, other than durum wheat, other than seed",Arable,Cereals,Wheat
12,1209,120922,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","Seeds, fruit and spores; of a kind used for sowing","Seeds of forage plants; clover (Trifolium spp.) seeds, of a kind used for sowing",Arable,Clover Seeds,Unknown
12,1214,121490,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder","Swedes, mangolds, fodder roots, hay, lucerne (alfalfa), clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets","Forage products including swedes, mangolds, fodder roots, hay, sainfoin, clover, forage kale, lupines, vetches etc., pelletised or otherwise",Arable,Other Arable,Forage products
23,2304,230400,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil",Arable,Other Arable,Oilseed meal
23,2305,230500,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of ground-nut oil",Arable,Other Arable,Oilseed meal
23,2306,230610,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of cotton seed oils",Arable,Other Arable,Oilseed meal
23,2306,230620,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of linseed oils",Arable,Other Arable,Oilseed meal
23,2306,230630,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of sunflower seed oils",Arable,Other Arable,Oilseed meal
23,2306,230640,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of rape or colza seed oils",Arable,Other Arable,Oilseed meal
23,2306,230641,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seed oils",Arable,Other Arable,Oilseed meal
23,2306,230649,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of rape seed oils (other than low erucic acid rape or colza)",Arable,Other Arable,Oilseed meal
23,2306,230650,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of coconut or copra seed oils",Arable,Other Arable,Oilseed meal
23,2306,230660,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of palm nuts or kernels oils",Arable,Other Arable,Oilseed meal
23,2306,230670,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of maize (corn) germ oils",Arable,Other Arable,Oilseed meal
23,2306,230690,"Food industries, residues and wastes thereof; prepared animal fodder","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils other than those of heading no. 2304 or 2305","Oil-cake and other solid residues; whether or not ground or in the form of pellets, resulting from the extraction of oils, n.e.c. in heading no. 2306",Arable,Other Arable,Oilseed meal
23,2303,230310,"Food industries, residues and wastes thereof; prepared animal fodder","Residues of starch manufacture, similar residues; beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",Residues of starch manufacture and similar residues; whether or not in the form of pellets,Arable,Other Arable,Residues
23,2303,230320,"Food industries, residues and wastes thereof; prepared animal fodder","Residues of starch manufacture, similar residues; beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets","Beet-pulp, bagasse and other waste of sugar manufacture; whether or not in the form of pellets",Arable,Other Arable,Residues
23,2303,230330,"Food industries, residues and wastes thereof; prepared animal fodder","Residues of starch manufacture, similar residues; beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets",Brewing or distilling dregs and waste; whether or not in the form of pellets,Arable,Other Arable,Residues
