Primary Industry Sector,SOPI_group _HS6,NZHSCLevel4,NZHSCLevel4Desc,NZHSCLevel6,NZHSCLevel6Desc,HS6 text
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100110,Cereals; durum wheat,100110
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100111,"Cereals; wheat and meslin, durum wheat, seed",100111
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100119,"Cereals; wheat and meslin, durum wheat, other than seed",100119
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100190,Cereals; meslin and wheat other than durum,100190
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100191,"Cereals; wheat and meslin, other than durum wheat, seed",100191
Arable,Cereals and Cereal Products,1001,Wheat and meslin,100199,"Cereals; wheat and meslin, other than durum wheat, other than seed",100199
Arable,Cereals and Cereal Products,1002,Rye,100200,Cereals; rye,100200
Arable,Cereals and Cereal Products,1002,Rye,100210,"Cereals; rye, seed",100210
Arable,Cereals and Cereal Products,1003,Barley,100300,Cereals; barley,100300
Arable,Cereals and Cereal Products,1003,Barley,100310,"Cereals; barley, seed",100310
Arable,Cereals and Cereal Products,1003,Barley,100390,"Cereals; barley, other than seed",100390
Arable,Cereals and Cereal Products,1004,Oats,100400,Cereals; oats,100400
Arable,Cereals and Cereal Products,1004,Oats,100410,"Cereals; oats, seeds",100410
Arable,Cereals and Cereal Products,1004,Oats,100490,"Cereals; oats, other than seed",100490
Arable,Cereals and Cereal Products,1005,Maize (corn),100510,"Cereals; maize (corn), seed",100510
Arable,Cereals and Cereal Products,1005,Maize (corn),100590,"Cereals; maize (corn), other than seed",100590
Arable,Cereals and Cereal Products,1006,Rice,100610,Cereals; rice in the husk (paddy or rough),100610
Arable,Cereals and Cereal Products,1006,Rice,100620,Cereals; husked (brown) rice,100620
Arable,Cereals and Cereal Products,1006,Rice,100630,"Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",100630
Arable,Cereals and Cereal Products,1006,Rice,100640,"Cereals; rice, broken",100640
Arable,Cereals and Cereal Products,1007,Grain sorghum,100700,Cereals; grain sorghum,100700
Arable,Cereals and Cereal Products,1007,Grain sorghum,100710,"Cereals; grain sorghum, seed",100710
Arable,Cereals and Cereal Products,1007,Grain sorghum,100790,"Cereals; grain sorghum, other than seed",100790
